ds,ticker,yhat,yhat_lower,yhat_upper,is_forecast
2025-08-07,INFY.NS,1469.046019072836,1376.293875488827,1554.0817479547422,False
2025-08-08,INFY.NS,1459.7009019494087,1375.764466574547,1553.324037247236,False
2025-08-11,INFY.NS,1445.0447852307457,1360.0646323136543,1534.4676022606886,False
2025-08-12,INFY.NS,1442.080613640269,1353.2570655227664,1529.909687486692,False
2025-08-13,INFY.NS,1444.1985960505292,1351.4622643936084,1536.863457981352,False
2025-08-14,INFY.NS,1443.5663309642666,1355.3549823314609,1536.889062371524,False
2025-08-18,INFY.NS,1445.4242632281052,1354.7924084131787,1538.8019571718912,False
2025-08-19,INFY.NS,1448.8672924370476,1353.676337702048,1539.9819068705835,False
2025-08-20,INFY.NS,1456.4117149640122,1365.12661420638,1540.31185359138,False
2025-08-21,INFY.NS,1460.814917448369,1367.4190037910373,1548.2138885826635,False
2025-08-22,INFY.NS,1462.2536714594298,1374.9709056509416,1544.827965036727,False
2025-08-25,INFY.NS,1476.9060764163999,1384.1190664318908,1568.5823639594457,False
2025-08-26,INFY.NS,1482.0542263342486,1395.0840510914325,1563.7630873849344,False
2025-08-28,INFY.NS,1494.904696275407,1404.2236955058447,1582.4324193915445,False
2025-08-29,INFY.NS,1495.5371049925006,1400.7094603677565,1587.3785224717706,False
2025-09-01,INFY.NS,1503.1224454954452,1416.8285101319386,1594.0525305033093,False
2025-09-02,INFY.NS,1504.5766406397536,1416.243234769197,1600.123753912715,False
2025-09-03,INFY.NS,1508.7752975091873,1420.2680322933927,1596.2238811551797,False
2025-09-04,INFY.NS,1508.5687537956203,1417.8875937787761,1603.2111330521655,False
2025-09-05,INFY.NS,1504.25523300845,1419.1610820828012,1594.5796482816793,False
2025-09-08,INFY.NS,1500.7988895993249,1416.6022527135246,1595.7677545782067,False
2025-09-09,INFY.NS,1498.7630276404375,1414.4765766842663,1583.6902946542225,False
2025-09-10,INFY.NS,1499.7581441565308,1412.6233624628424,1592.582380737873,False
2025-09-11,INFY.NS,1496.7373121162875,1409.1914837860445,1593.1563273010966,False
2025-09-12,INFY.NS,1490.0898698490284,1401.1008135983684,1578.6949971998015,False
2025-09-15,INFY.NS,1478.7759158612357,1394.4681678221946,1567.1567186636896,False
